Property ID,Name,Name (EN),Category,Year Completed,Year Source,Year Confidence,Availability,Availability Source,Availability Confidence,Notes
1,如心廣場 (商業),Nina Tower (Office),commercial,2006,Chinachem Official Website / Property Database,High,可租售,Centanet Leasing Listings (April 2026),High,Multiple units available for lease at HK$23-25/sq ft. Confirmed 88-floor Grade A office building.
2,華懋中心一期,One Chinachem Central,commercial,2016,Chinachem Official Press Release (Dec 2016),High,已滿租,Chinachem Official Website - Phase I fully leased,High,16-floor Grade A office in Central. All commercial units leased upon completion.
3,華懋中心二期,Two Chinachem Central,commercial,2017,Chinachem Official Press Release (Dec 2016 - Q2 2017 occupancy),High,可租售,Chinachem Leasing - 60% leased at launch now available,High,22-floor Grade A office. LEED Silver certified. Part of Chinachem Centre redevelopment project.
4,華懋大廈,Chinachem Tower,commercial,1966,Chinachem Official Website (www.chinachemgroup.com),High,已滿租,Chinachem Leasing - No current listings,Medium,34-37 Connaught Road Central. Historic Chinachem landmark. Centanet records show 1967 but official website confirms 1966.
5,華懋世紀廣場,Chinachem Century Tower,commercial,1994,Chinachem Official Website,High,即將到期,Property Database - Lease expiry 2026-06-30,High,26-floor office in Wan Chai. 93000 sq ft. Some units becoming available in mid-2026.
6,One Hennessy,One Hennessy,commercial,2019,Chinachem News / Architectural Press (Q2 2019 completion),High,可租售,Chinachem Leasing Website,High,Former Asian House (熙信大廈) built 1969. Redeveloped into modern Grade A office. 300000+ sq ft.
7,華懋中心 I期,Chinachem Centre Phase 1,commercial,1988,Chinachem Golden Plaza Official Page,High,可租售,Chinachem Leasing - Multiple units available,High,Likely refers to Chinachem Golden Plaza (華懋廣場) at 77 Mody Road. 20 floors 445000 sq ft.
8,華懋中心 II期,Chinachem Centre Phase 2,commercial,,No reliable source found,Low,可租售,Property Database,Medium,May refer to second phase of Chinachem Centre complex. Requires verification from Chinachem leasing team.
9,華懋金馬倫中心,Chinachem Cameron Centre,commercial,1994,Chinachem Official Website / PropWiser,High,可租售,Chinachem Leasing / Property Databases,High,42-44 Cameron Road TST. 18 floors. 42000 sq ft GFA. Features private club fitness centre.
10,華懋333廣場,Chinachem 333 Plaza,commercial,1996,Midland ICI (1996) / Landvision (1998) - Using 1996 as more conservative,Medium,可租售,Midland ICI / Leasing Hub Listings,High,333 Castle Peak Road Cheung Sha Wan. 14-15 floors. Grade B office. Conflicting year data: 1996 vs 1998.
11,利園八期,Lee Garden Eight,commercial,2026,Chinachem Business Portfolio / Press Releases,High,即將到期,Under construction - Expected completion 2026,High,Joint venture with Henderson Land. Green commercial landmark. 1000000+ sq ft. Future availability.
21,如心廣場商場,Nina Mall,retail,2006,Chinachem Official Website (part of Nina Tower complex),High,不適用,Retail mall - operational status,High,Part of Nina Tower complex. Base retail floors of the 88-floor tower.
22,D·PARK愉景新城,D·PARK Discovery Park,retail,2024,Chinachem Press Release (June 2024 acquisition),High,不適用,Retail mall - operational after acquisition,High,Acquired from New World Development for HK$4.02 billion. 630000 sq ft. Originally built by New World (year unknown).
23,中環街市,Central Market,retail,2021,Chinachem Official Website (reopening date),High,不適用,Heritage revitalization project - operational,High,Historic building revitalized as 'Playground for All'. F&B and shopping destination.
24,NINA MALL 1,NINA MALL 1,retail,2006,Chinachem Official / abcarihk.com (former Tsuen Wan Centre Mall rebranded 2018),Medium,不適用,Retail mall - operational,High,Formerly Tsuen Wan Centre Mall. Rebranded as NINA MALL 1 in 2018. 170000 sq ft 55 shops.
25,NINA MALL 2,NINA MALL 2,retail,2019,Nina Mall Website / Property Records (connected to Tsuen Wan West Station development),Medium,不適用,Retail mall - operational,High,New development connected to Tsuen Wan West Station. 100000 sq ft 44 shops.
31,瑜一 (In One),In One,residential,,Under construction - no reliable completion year found,Low,不適用,Residential project - under development,High,Ho Man Tin luxury residential. Currently under development/sale. Estimated completion 2025-2026 (not confirmed).
32,WHITESAND COVE,WHITESAND COVE,residential,,Under development - no reliable data,Low,不適用,Residential project - under development,High,Sai Kung low-density luxury residential. 40 units. Currently under development.
41,荃灣西如心酒店,Nina Hotel Tsuen Wan West,hotel,2007,Nina Hotel Group Official Website,High,不適用,Hotel - operational,High,Flagship hotel. 1608 rooms. 88 floors. Largest hotel in Nina Hotel Group.
42,銅鑼灣如心酒店,Nina Hotel Causeway Bay,hotel,2005,Nina Hotel Group Official Website / Ctrip / Wing On Travel,High,不適用,Hotel - operational,High,First Nina Hotel. Opened December 2005. 37 floors 275 rooms. Renovated 2015.
43,如心酒店 · 南灣,Nina Hotel Island South,hotel,2010,Nina Hotel Group Official Website (converted from factory building),High,不適用,Hotel - operational (major renovation completed March 2026),High,Former factory building in Wong Chuk Hang. Converted and opened 2010. Major HK$120M renovation completed March 2026.
44,如心酒店 · 東九龍,Nina Hotel Kowloon East,hotel,2012,Nina Hotel Group Official Website,High,不適用,Hotel - operational,High,First Nina Hotel in Kowloon. Located in Kwun Tong commercial district.
45,木的地酒店 · 旺角,Lodgewood by Nina Mong Kok,hotel,2013,Nina Hotel Group Official Website / Baidu Baike,High,不適用,Hotel - operational,High,First Lodgewood brand hotel (economy tier). 87 rooms. Opened April 2013.
46,薈賢居 · 灣仔,Lodgewood by Nina Wan Chai,hotel,2015,Nina Hotel Group Official Website,High,不適用,Serviced residence - operational,High,Serviced apartments. Single and double bedroom units.
47,The Lily,The Lily,hotel,2010,Property Database / Nina Hotel Group (managed since 2020),High,不適用,Luxury residential - managed by Nina Hospitality,High,Repulse Bay luxury residential. Sir Norman Foster architect. 100 units. Managed by Nina since July 2020.
52,如心園,Nina Park,other,2023,Chinachem Sustainability Report / Press Release (Dec 29 2023),High,不適用,Public park - open to public,High,Asia's largest urban wood fossil park. 70000 sq ft. Over 100 museum-grade wood fossils. 'Playground for All' project.
61,松心薈,Pine Residence,healthcare,2022,Pine Care Group Press Release (Dec 20 2022),High,不適用,Elderly care home - operational,High,Flagship 'Shang Qi · Xian Ju' series. 188 beds. 35400 sq ft. Premium elderly care in Causeway Bay.
62,松齡康輝護老中心,Pine Care Hong Fai Elderly Centre,healthcare,2006,Pine Care Group ESG Report 2019,Medium,不適用,Elderly care home - operational,High,Sai Wan Ho. 3 floors. Established during 2000-2009 expansion period per company records.
63,松暉護老中心,Pinecrest Elderly Centre,healthcare,1999,Pine Care Group Prospectus ( founded 1999),Medium,不適用,Elderly care home - operational,High,Kwun Tong. 2 floors. Opened 1999 per company milestone records.
64,新松齡護老中心,New Pine Care Centre,healthcare,2010,Pine Care Group Records (relocated to Shun Lee Estate),Medium,不適用,Elderly care home - operational,High,Shun Lee Estate Kwun Tong. Relocated to current location in 2010.
65,松齡(利富)護老中心,Pine Care (Lee Foo) Elderly Centre,healthcare,2010,Pine Care Group Prospectus (established during 2010-2019 period),Medium,不適用,Elderly care home - operational,High,Shun Lee Estate Lee Foo House. Established during 2010 expansion.
66,松齡樂軒,Pine Care Point,healthcare,2019,Pine Care Group ESG Report 2019 (H2 2019 establishment),High,不適用,Elderly care home - operational,High,Shek Kip Mei. Specialist RCHE for dementia care. Opened H2 2019.
67,松齡(萬年)護老中心,Pine Care (Manning) Elderly Centre,healthcare,2003,Pine Care Group Prospectus (opened 2003),Medium,不適用,Elderly care home - operational,High,Tsz Wan Shan. 4 floors. Opened 2003 per company records.
68,松齡(德豐)護老中心,Pine Care (Tak Fung) Elderly Centre,healthcare,2012,Pine Care Group Prospectus (relocated from Tsz Wan Shan in 2012),Medium,不適用,Elderly care home - operational,High,Prince Edward (Mongkok). Relocated from Tsz Wan Shan to current location in 2012.
69,松齡雅苑,Pine Care Place,healthcare,2018,Pine Care Group Press Release (June 2018),High,不適用,Elderly care home - operational,High,Yuen Long YOHO MALL. Premium RCHE. 68 beds. 33000 sq ft. First upscale facility.
70,松齡(保德)護老中心,Pine Care (Po Tak) Elderly Centre,healthcare,2010,Pine Care Group Prospectus (acquired 2010),Medium,不適用,Elderly care home - operational,High,Kwai Fong. Acquired in 2010 during expansion phase.
71,松齡俊景護老中心,Pine Care Tsuen Wan,healthcare,2017,Pine Care Group Records (relocated from Po Tak Branch),Medium,不適用,Elderly care home - operational,High,Tsuen Wan. Relocated from previous Po Tak Branch location in 2017.
72,松齡翠軒,Pine Care Jade Maison,healthcare,2024,Pine Care Group Website / HKTB (first government contract facility),High,不適用,Elderly care home - operational (government contract),High,Sheung Shui Kwu Tung North. First government contract facility. Welfare Services Complex.
